,cname,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
0,Barbados,0.79400003,BRB,Caribbean,22888.971,0.2790000140666962,16.89999961853027,8.8199997,7.0,7.469303131103516
1,Zambia,0.57599998,ZMB,SubSaharian,1916.79,,56.40000152587891,2.4100001,15.9,4.986764907836914
2,Albania,0.76200002,ALB,EastEurope,8516.7002,,15.0,4.5100002,29.700001,5.883105278015137
3,Seychelles,0.78100002,SYC,SubSaharian,9583.3203,0.0900000035762787,11.19999980926514,9.7200003,26.700001,3.369816780090332
4,Belarus,0.79799998,BLR,EastEurope,17780.641,9.468000411987305,,13.94,27.9,5.687721729278565
5,Thailand,0.73799998,THA,SouthEastAsia,9295.5703,68.65699768066406,11.39999961853027,6.4099998,21.5,4.122164249420166
6,Australia,0.93699998,AUS,WesternDem,38611.949,23.62100028991699,4.099999904632568,9.71,16.0,9.422300338745115
7,Somalia,,SOM,SubSaharian,1436.74,,,0.0,,
8,Uzbekistan,0.69700003,UZB,EastEurope,7370.7202,29.74600028991699,,2.8299999,13.3,5.838521957397461
9,Andorra,0.85699999,AND,WesternDem,32367.33,,,9.9799995,33.099998,8.127135276794434
10,Mali,0.43799999,MLI,SubSaharian,1063.26,14.85400009155273,79.5999984741211,0.61000001,18.6,6.862166404724121
11,Slovenia,0.88800001,SVN,EastEurope,24456.561,2.061000108718872,2.5,10.46,20.9,9.23388671875
12,Micronesia,0.63700002,FSM,Pacific,2624.05,0.1019999980926514,,1.58,,13.7069149017334
13,Egypt,0.68800002,EGY,NorthAfrica,5598.2598,86.69999694824219,17.89999961853027,0.20999999,23.799999,5.642115116119385
14,Congo,0.58999997,COG,SubSaharian,2369.8401,,,3.8199999,18.5,5.151411533355713
15,Haiti,0.49000001,HTI,LatAm,1024.9399,,56.5,5.6799998,11.8,7.555654048919678
16,Cameroon,0.514,CMR,SubSaharian,2658.51,,61.09999847412109,6.1900001,18.799999,4.103671550750732
17,Antigua and Barbuda,0.78399998,ATG,Caribbean,12257.71,,,8.5600004,,5.541683197021484
18,Japan,0.90200001,JPN,EastAsia,36123.77,127.120002746582,2.200000047683716,7.5500002,22.799999,10.22874450683594
19,St Kitts and Nevis,0.76200002,KNA,Caribbean,11237.75,,,8.6800003,,5.080365180969238
20,Togo,0.484,TGO,SubSaharian,1036.28,6.928999900817871,,1.4400001,,5.24687671661377
21,Azerbaijan,0.75800002,AZE,EastEurope,9793.3096,9.342000007629396,30.79999923706055,2.1400001,23.5,6.036863327026367
22,Morocco,0.64499998,MAR,NorthAfrica,3999.5601,33.17900085449219,26.79999923706055,0.43000001,22.0,5.907778263092041
23,Laos,0.58200002,LAO,SouthEastAsia,2926.77,6.89799976348877,54.0,5.3899999,34.0,1.865545511245728
24,Italy,0.88099998,ITA,WesternDem,32931.672,60.78300094604492,3.200000047683716,7.5599999,24.200001,9.247918128967283
25,Colombia,0.72399998,COL,LatAm,8761.1396,47.6619987487793,15.10000038146973,4.3800001,11.6,7.201298713684082
26,Armenia,0.741,ARM,EastEurope,6451.9399,2.980000019073486,14.69999980926514,3.9100001,28.0,4.480149269104004
27,Jamaica,0.72899997,JAM,Caribbean,4668.77,2.799000024795532,14.39999961853027,3.8299999,17.6,5.36152458190918
28,Comoros,0.498,COM,SubSaharian,972.35999,0.7760000228881836,,0.12,15.3,6.747642993927002
29,Belize,0.70599997,BLZ,Caribbean,6649.1401,0.3499999940395355,15.69999980926514,6.5799999,,5.788949966430664
30,Panama,0.78500003,PAN,LatAm,15137.04,3.788000106811523,15.89999961853027,6.7399998,7.4000001,8.025723457336426
31,Iceland,0.91900003,ISL,WesternDem,31313.609,0.3289999961853027,1.799999952316284,7.4499998,17.5,8.859166145324707
32,Lithuania,0.84600002,LTU,EastEurope,17559.75,2.931999921798706,4.400000095367432,15.19,30.1,6.552116870880127
33,Kiribati,0.58600003,KIR,Pacific,1532.65,0.1070000007748604,,0.52999997,54.0,10.21295070648193
34,Brunei,0.86400002,BRN,SouthEastAsia,46103.84,0.4120000004768372,5.599999904632568,0.97000003,16.4,2.648162841796875
35,Guinea-Bissau,0.421,GNB,SubSaharian,961.26001,,,3.5699999,,5.593137264251709
36,Cote d'Ivoire,0.46599999,CIV,SubSaharian,1354.29,22.52400016784668,76.19999694824219,3.1500001,,5.716273784637451
37,Liberia,0.42699999,LBR,SubSaharian,488.26999,,53.59999847412109,3.72,14.2,10.03633308410645
38,Lebanon,0.76300001,LBN,NorthAfrica,14711.97,4.382999897003174,8.0,1.3200001,37.0,6.3937087059021
39,Jordan,0.741,JOR,NorthAfrica,5188.9199,6.675000190734863,16.39999961853027,0.41,38.400002,7.452995777130127
40,Nauru,,NRU,Pacific,3130.47,0.0120000001043081,,,48.900002,3.32664942741394
41,Solomon Islands,0.514,SLB,Pacific,2113.0601,0.5619999766349792,,0.99000001,,5.05106258392334
42,United States,0.91799998,USA,WesternDem,47769.699,318.7890014648438,6.0,8.8199997,18.1,17.14075469970703
43,Turkmenistan,0.68800002,TKM,EastEurope,13217.39,,,2.9000001,,2.067386150360107
44,Eritrea,0.41800001,ERI,SubSaharian,1007.28,,,0.62,,3.338293075561523
45,United Kingdom,0.90799999,GBR,WesternDem,34791.051,64.59700012207031,4.099999904632568,10.37,20.299999,9.115471839904783
46,Cyprus (1975-),0.85399997,CYP,NorthAfrica,27207.07,0.8579999804496765,2.5,9.04,,7.367611408233643
47,Pakistan (1971-),0.54799998,PAK,SouthAsia,2855.55,186.1900024414063,69.30000305175781,0.039999999,22.6,2.613916397094727
48,Ethiopia (1993-),0.44100001,ETH,SubSaharian,900.77002,88.34700012207031,46.5,1.86,4.6999998,4.884313106536865
49,Estonia,0.86299998,EST,EastEurope,19768.039,1.315999984741211,2.900000095367432,,33.200001,6.379294395446777
50,El Salvador,0.67799997,SLV,LatAm,332.26999,,13.60000038146973,2.52,,6.772402763366699
51,Russia,0.80500001,RUS,EastEurope,19063.689,143.4290008544922,8.899999618530273,10.12,39.5,7.070408344268799
52,Brazil,0.75400001,BRA,LatAm,9815.2402,202.7689971923828,12.89999961853027,7.3200002,16.1,8.322834014892578
53,Gambia,0.44999999,GMB,SubSaharian,1601.88,,49.20000076293945,3.4100001,,7.340400695800781
54,Croatia,0.82300001,HRV,EastEurope,18020.41,4.23799991607666,4.0,12.14,36.0,7.803241729736328
55,Dominican Republic,0.71799999,DOM,LatAm,10376.63,,22.79999923706055,5.9200001,14.5,4.375777721405029
56,Syria,0.55299997,SYR,NorthAfrica,4284.4199,,14.19999980926514,0.75999999,,3.254531145095825
57,Tonga,0.71799999,TON,Pacific,3962.0601,0.1040000021457672,,0.95999998,30.200001,5.176770687103272
58,Singapore,0.92400002,SGP,SouthEastAsia,54268.148,5.46999979019165,2.299999952316284,1.83,16.200001,4.922791957855225
59,Kyrgyzstan,0.662,KGZ,EastEurope,3010.24,5.894999980926514,23.60000038146973,3.28,26.4,6.483762264251709
60,Slovakia,0.84200001,SVK,EastEurope,21776.34,5.415999889373779,6.300000190734863,10.6,28.799999,8.054047584533691
61,Tajikistan,0.625,TJK,EastEurope,3592.6499,8.131999969482422,49.0,0.31999999,,6.880884170532227
62,"Korea, South",0.89899999,KOR,EastAsia,33181.891,50.74700164794922,3.299999952316284,9.3299999,27.4,7.373112678527832
63,Bolivia,0.671,BOL,LatAm,4023.8701,10.07800006866455,32.79999923706055,3.6199999,,6.334827423095703
64,Kazakhstan,0.79299998,KAZ,EastEurope,14098.88,17.42200088500977,16.70000076293945,6.29,26.299999,4.355939865112305
65,Saudi Arabia,0.84500003,SAU,NorthAfrica,20872.711,30.77000045776367,7.400000095367432,0.090000004,17.1,4.684084892272949
66,Indonesia,0.68599999,IDN,SouthEastAsia,4780.0098,252.1649932861328,25.79999923706055,0.090000004,38.5,2.84686017036438
