Fecha,Temperatura media Cº
1/1/2019,22.8
2/1/2019,23.7
3/1/2019,24.4
4/1/2019,23.4
5/1/2019,20.8
6/1/2019,19.5
7/1/2019,19.1
8/1/2019,18.3
9/1/2019,16.6
10/1/2019,18.6
11/1/2019,19.7
12/1/2019,19.2
13/1/2019,19.5
14/1/2019,19.3
15/1/2019,21.2
16/1/2019,21.9
17/1/2019,20.4
18/1/2019,22.8
19/1/2019,22
20/1/2019,20.7
21/1/2019,23.4
22/1/2019,23.4
23/1/2019,22.8
24/1/2019,22.7
25/1/2019,23.8
26/1/2019,26.6
27/1/2019,25.8
28/1/2019,24.5
29/1/2019,21.8
30/1/2019,22.8
31/1/2019,24.9
1/2/2019,24.6
2/2/2019,24.1
3/2/2019,24.6
4/2/2019,24.1
5/2/2019,24
6/2/2019,24.3
7/2/2019,23.3
8/2/2019,23
9/2/2019,24
10/2/2019,22.5
11/2/2019,20
12/2/2019,20.9
13/2/2019,19.2
14/2/2019,22.7
15/2/2019,23.4
16/2/2019,18.9
17/2/2019,20.5
18/2/2019,21.8
19/2/2019,21.7
20/2/2019,21.5
21/2/2019,20.1
22/2/2019,20.5
23/2/2019,22.5
24/2/2019,21.8
25/2/2019,20.8
26/2/2019,20.3
27/2/2019,21.7
28/2/2019,21
1/3/2019,20.6
2/3/2019,21.2
3/3/2019,19.8
4/3/2019,19.5
5/3/2019,20.5
6/3/2019,21
7/3/2019,20.5
8/3/2019,19.3
9/3/2019,18.3
10/3/2019,18
11/3/2019,19.1
12/3/2019,20.7
13/3/2019,20.8
14/3/2019,20.1
15/3/2019,19
16/3/2019,17.9
17/3/2019,17.6
18/3/2019,18.8
19/3/2019,17.9
20/3/2019,17.1
21/3/2019,18.8
22/3/2019,19.7
23/3/2019,20.1
24/3/2019,20
25/3/2019,18.9
26/3/2019,18.2
27/3/2019,17.4
28/3/2019,16.3
29/3/2019,16.6
30/3/2019,16.2
31/3/2019,16.6
1/4/2019,16.7
2/4/2019,18.8
3/4/2019,16.4
4/4/2019,16.7
5/4/2019,18.8
6/4/2019,19.7
7/4/2019,20.3
8/4/2019,17.1
9/4/2019,12.6
10/4/2019,16.5
11/4/2019,15.3
12/4/2019,12.5
13/4/2019,11.4
14/4/2019,12.2
15/4/2019,15.7
16/4/2019,16.8
17/4/2019,17.9
18/4/2019,15
19/4/2019,13.1
20/4/2019,13.1
21/4/2019,12.1
22/4/2019,12.6
23/4/2019,11.9
24/4/2019,11.9
25/4/2019,13.7
26/4/2019,13.6
27/4/2019,15.3
28/4/2019,15.6
29/4/2019,16.1
30/4/2019,15.3
1/5/2019,13.9
2/5/2019,15.7
3/5/2019,16.3
4/5/2019,14.7
5/5/2019,14.1
6/5/2019,14.8
7/5/2019,14.3
8/5/2019,9.9
9/5/2019,10.7
10/5/2019,10.4
11/5/2019,10.3
12/5/2019,11.1
13/5/2019,13.2
14/5/2019,14.2
15/5/2019,13.6
16/5/2019,10.1
17/5/2019,11.2
18/5/2019,12.5
19/5/2019,8.6
20/5/2019,8.1
21/5/2019,6.9
22/5/2019,7.4
23/5/2019,8.6
24/5/2019,9.1
25/5/2019,11.5
26/5/2019,10.9
