Cantidad (en UM de inventario),VentaNeta,CodCliente,Número de documento,ItemCode,CodVendedor,Código de almacén de línea,Fecha,Descripción del artículo,CanalDeVenta,Kilombos
30,58172,C77196968,1054011,100401405101,11,B30,5-Apr-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
60,116345,C76047944,1065766,100401405101,4,B30,11-Aug-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,12
60,116344,C76047944,1071927,100401405101,4,B30,20-Oct-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,12
60,116345,T00000581,1044987,100401405101,38,B30,3-Nov-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,12
60,116345,T00000377,1055172,100401405101,38,B30,21-Apr-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,12
60,116344,T00000377,1068996,100401405101,38,B30,14-Sep-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,12
120,232689,C77031365,1072169,100401405101,38,B30,22-Oct-21,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,24
30,73110,C77085321,1027261,100401405101,11,B33,28-Oct-19,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,48000,C76825371,1033084,100401405101,95,B33,17-Mar-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
30,48000,C16662402-9,1033424,100401405101,95,B33,24-Mar-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,6
-30,-48000,C76825371,1002750,100401405101,95,B33,24-Mar-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,-6
2,5966.154848,C0020,421225,100401405101,38,B34,22-Jun-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,0.4
1,2983,T00000539,422305,100401405101,95,B41,24-Jun-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,0.2
1,2982.894668,T00000561,422404,100401405101,95,B41,24-Jun-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,0.2
15,29087.74725,C0020,424619,100401405101,38,B34,30-Jun-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,3
1,2983,C14127842,425217,100401405101,95,B41,1-Jul-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,0.2
1,2983,C13253059,425226,100401405101,95,B41,1-Jul-20,Almendra Cubierta Con Chocolate Bitter Bl 200Gr.,Televenta,0.2
